title,price,rating,reviews,availability
UGG Women's Tasman Slipper,,4.7 out of 5 stars,"22,488 ratings",Not Available
Crocs Unisex-Adult Classic Clogs (Best Sellers),,4.8 out of 5 stars,"438,245 ratings",Not Available
Hey Dude Wendy Chambray,,4.7 out of 5 stars,"5,074 ratings",Not Available
OOFOS - Unisex OOriginal - Post Run Sports Recovery Thong Sandal,,4.6 out of 5 stars,"12,652 ratings",Not Available
Crocs Women's Kadie II Flip Flops,,4.4 out of 5 stars,"33,692 ratings",Not Available
OOFOS womens Oolala Thong,,4.5 out of 5 stars,162 ratings,Not Available
Hey Dude Women's Wendy Chambray,,4.7 out of 5 stars,"28,835 ratings",Not Available
Brooks Women's Ghost 14 Neutral Running Shoe,,4.7 out of 5 stars,"24,836 ratings",Not Available
Hey Dude Women's Wendy Lace-Up Loafers Comfortable & Lightweight Ladies Shoes Multiple Sizes & Colors,,4.7 out of 5 stars,"111,259 ratings",Not Available
VIFUUR Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women,,4.3 out of 5 stars,"125,755 ratings",Not Available
ARCHIES Footwear - Flip Flop Sandals – Offering Great Arch Support and Comfort,,4.3 out of 5 stars,135 ratings,Not Available
Women's Embroidered Western Cowboy Boots Knee High Stitching Almond Medium Heel Chunky Heel 5cm Pointed Toe Fashion Retro Classic Boot Pull-On,,4.4 out of 5 stars,"2,296 ratings",Not Available
Crocs Women's Brooklyn Low Wedges Sandal,,4.6 out of 5 stars,"7,183 ratings",Not Available
Skechers Women's Squad Sr Food Service Shoe,,4.3 out of 5 stars,"41,611 ratings",Not Available
Joomra Pillow Slippers for Women and Men Non Slip Quick Drying Shower Slides Bathroom Sandals | Ultra Cushion | Thick Sole,,4.4 out of 5 stars,"24,029 ratings",Not Available
OOFOS unisex-adult Ooriginal Thong,,4.6 out of 5 stars,"4,840 ratings",Not Available
PUMA Women’s Carina Sneaker,,4.5 out of 5 stars,"39,478 ratings",Not Available
UGG Women's Coquette Slipper,,4.7 out of 5 stars,"12,734 ratings",Not Available
Hey Dude womens Wendy Sox,,4.8 out of 5 stars,"18,514 ratings",Not Available
Crocs Women's Kadee Ii Sandals,,4.3 out of 5 stars,"12,825 ratings",Not Available
Nike Women's Air Force 1 PLT.AF.ORM Pink Oxford/Light Soft Pink (DJ9946 602),,4.6 out of 5 stars,211 ratings,Not Available
adidas Originals Women's Nizza Platform Sneaker,,4.6 out of 5 stars,"2,330 ratings",Not Available
Hey Dude Men's Wally Sox Funk Multiple Colors & Sizes | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,,4.7 out of 5 stars,"75,569 ratings",Not Available
Brooks Revel 5 Women's Neutral Running Shoe,,4.6 out of 5 stars,"4,918 ratings",Not Available
New Balance Women's 608 V5 Cross Trainer,,4.5 out of 5 stars,"28,163 ratings",Not Available
HOKA ONE ONE Clifton 8 Wide Womens Shoes,,4.6 out of 5 stars,510 ratings,Not Available
Skechers Women's 33492 Sneaker,,4.6 out of 5 stars,"28,552 ratings",Not Available
Crocs Unisex-Adult Men's and Women's on The Clock Clog | Slip Resistant Work Shoes,,4.3 out of 5 stars,"28,370 ratings",Not Available
UGG Women's Classic Ultra Mini Fashion Boot,,4.6 out of 5 stars,"5,303 ratings",Not Available
Reef Women's Cushion Breeze Flip-Flop,,4.4 out of 5 stars,"14,396 ratings",Not Available
Crocs Women's Literide 360 Pacer Sneakers,,4.2 out of 5 stars,"2,861 ratings",Not Available
Reef Women's Bliss Nights Flip-Flop,,4.3 out of 5 stars,"9,955 ratings",Not Available
adidas Women's Cloudfoam Pure 2.0 Running Shoe,,4.6 out of 5 stars,"63,068 ratings",Not Available
Nike Women's Basketball,,4.5 out of 5 stars,606 ratings,Not Available
UGG Women's Tazz Slipper,,4.6 out of 5 stars,879 ratings,Not Available
Skechers Women's D'Lites Fresh Start Memory Foam Lace-up Sneaker Fashion,,4.6 out of 5 stars,"9,218 ratings",Not Available
Dr. Martens Women's Voss Ii Sandal,,4.7 out of 5 stars,849 ratings,Not Available
Keds Women's Triple Kick Leather Sneaker,,4.5 out of 5 stars,"1,966 ratings",Not Available
HOKA ONE ONE womens Low-top,,4.6 out of 5 stars,510 ratings,Not Available
FUNKYMONKEY Women's Comfort Slides Double Buckle Adjustable EVA Flat Sandals,,4.2 out of 5 stars,"58,843 ratings",Not Available
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe,,4.5 out of 5 stars,"8,560 ratings",Not Available
Nike Womens WMNS Air Force 1 Low '07 DD8959 100 White on White - Size,,4.6 out of 5 stars,"1,849 ratings",Not Available
Skechers Women's On-The-go 600-Brilliancy Sport Sandal,,4.6 out of 5 stars,"20,151 ratings",Not Available
Orca Bulk Flip Flops For Wedding Guests | 52 Pack Wholesale Wedding Sandals,,4.7 out of 5 stars,381 ratings,In Stock
adidas Women's Grand Court 2.0 Tennis Shoe,,4.6 out of 5 stars,"1,055 ratings",Not Available
Nike Women's Basketball Shoe,,4.5 out of 5 stars,"1,836 ratings",Not Available
Hey Dude Women's Wendy Chambray White Size 9 | Women’s Shoes | Women’s Lace Up Loafers | Comfortable & Light-Weight,,4.7 out of 5 stars,"1,713 ratings",In stock
JABASIC Women Lace Up Platform Sneakers Comfortable Casual Fashion Sneaker Walking Shoes,,4.3 out of 5 stars,326 ratings,Not Available
