title,price,rating,reviews,availability
"Bala Bangles - Set of 2 (1lb & 2lb Each) | Adjustable Wearable Wrist & Ankle Weights | Yoga, Dance, Barre, Pilates, Cardio, Aerobics, Walking",,4.5 out of 5 stars,912 ratings,Not Available
3 Pairs Small Huggie Hoop Earrings Set 14K Gold Hypoallergenic Lightweight Huggie Hoops Earrings for Women Girls,,4.4 out of 5 stars,"4,307 ratings",In Stock
"36 Pairs Gold Hoop Earrings Set for Women Girls Multipack, Hypoallergenic Chunky Chain Twisted Hoop Earrings Pack, Fashion Dangle Earrings Jewelry for Gift",,4.5 out of 5 stars,271 ratings,In Stock
Fstrend Women Mesh Body Chains Rhinestone Long Sleeve Crystal See Through Cover up Crop Tops Fishnet Bikini,,4.2 out of 5 stars,276 ratings,In Stock
Fine Gold Vermeil Natural Nephrite Jade Earrings for Women,,Previous page,,In Stock
Jewlpire 925 Sterling Silver Chain Necklace Chain for Women Girls 1.1mm Cable Chain Necklace Upgraded Spring-Ring Clasp - Thin & Sturdy - Italian Quality 16/18/20/22/24 Inch,,4.5 out of 5 stars,"14,256 ratings",In Stock
"Hadskiss Jewelry Set for Women, Necklace Dangle Earrings Bracelet Set, White Gold Plated Jewelry Set with White AAA Cubic Zirconia, Allergy Free Wedding Party Jewelry for Bridal Bridesmaid",,4.6 out of 5 stars,"4,144 ratings",In Stock
PAVOI 14K Gold Plated Cross Necklace for Women | Cross Pendant | Gold Necklaces for Women,,4.4 out of 5 stars,"8,275 ratings",In Stock
"Gold Bead Bracelet for Women,14K Gold Plated Bead Ball Bracelet Stretchable Elastic Bracelet",,4.1 out of 5 stars,"6,968 ratings",In Stock
Gold Huggie Small Hoop Earrings with Charm Personalized Snake/Evil Eye/Star/Cross/Lock/Key 18k Gold Plated Crystal Drop Dangle Earrings for Women,,4.6 out of 5 stars,"1,907 ratings",In Stock
PAVOI 14K Gold Plated Cubic Zirconia Cuff Earrings Huggie Stud,,4.4 out of 5 stars,"37,630 ratings",In Stock
"2PCS Pearl Necklace Set, Artificial Pearl Necklace, Pearl Choker Necklace Charm Lady Girlfriend Wedding Birthday Anniversary",,4.4 out of 5 stars,"3,534 ratings",In Stock
"Miabella Italian 925 Sterling Silver 3.5mm Curb Cuban Link Chain Necklace, Solid Diamond Cut Sterling Silver Chain for Men Women Made in Italy",,4.3 out of 5 stars,"9,895 ratings",In Stock
"68 Pcs Gold Knuckle Rings Set for Women Girls, Stackable Rings Boho Joint Finger Midi Rings Silver Hollow Carved Crystal Stacking Rings Pack for Gift",,4.2 out of 5 stars,"1,672 ratings",In Stock
"925 Sterling Silver Post 14K Real Gold Plated Chunky Hoop Earrings Set for Women, Hypoallergenic Thick Lightweight Hoop Earrings for Women 20/25/30/40/50/60mm Gold Jewelry Gifts",,4.6 out of 5 stars,"1,213 ratings",In Stock
18K White Gold Plated 4 Pong Round Clear Cubic Zirconia Stud Earring Pack of 6 Pairs (6 Pairs),,4.6 out of 5 stars,"11,286 ratings",In Stock
PAVOI 14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,,4.4 out of 5 stars,"22,490 ratings",In Stock
"PAVOI 18K Gold Plated 925 Sterling Silver Post, 3 Pairs Small Gold Hoop Earrings Set | Mini Cartilage Helix Huggie Hoop Pack for Women Men 8mm 10mm 12mm",,4.4 out of 5 stars,811 ratings,In Stock
"Tewiky Diamond Necklaces for Women, Dainty Gold Necklace 14k Gold Plated Long Lariat Necklace Simple Gold CZ Diamond Choker Necklaces for Women Trendy Gold Necklace Jewelry Gifts for Girls",,4.4 out of 5 stars,"1,277 ratings",In Stock
"SWAROVSKI Infinity Heart Jewelry Collection, Rose Gold & Rhodium Tone Finish, Clear Crystals",,4.6 out of 5 stars,"7,631 ratings",In Stock
Betsey Johnson Woven Mixed Multi-Colored Bead Flower Heart Illusion Necklace,,4.4 out of 5 stars,"4,317 ratings",In Stock
"TFORESTER Heart Pendant Necklace Luminous Series Moon Love Fluorescent Necklace, Glow in the Dark Necklace",,Previous page,,
"Turandoss Dainty Layered Choker Necklace, Handmade 14K Gold Plated Y Pendant Necklace Multilayer Bar Disc Necklace Adjustable Layering Choker Necklaces for Women",,4.5 out of 5 stars,"20,100 ratings",In Stock
"PAVOI 14K Gold Plated, Gold Vermeil, S925 Sterling Silver Cuff Earrings Huggie Stud | Small Hoop Earrings for Women",,4.5 out of 5 stars,"19,301 ratings",In Stock
"Reoxvo Dainty Gold Chain Bracelets Set for Women 14K Real Gold Plated Link Chain Bracelets for Women Trendy Gold Stackable Bracelets for Women Adjustable 7""+2""",,4.5 out of 5 stars,572 ratings,In Stock
"6 Pairs Stainless Steel gold silver Plated Hoop Earrings for Women Girls, Hypoallergenic Hoops Women's Earrings Loop Earrings Set (30.40.50mm)",,4.4 out of 5 stars,"9,660 ratings",In Stock
"Altitude Boutique 18k Gold Plated Necklace Extenders Delicate Necklace Extender Chain Set for Women 3 Piece Set, Extensions 2"", 4"", 6"" Inches Hypoallergenic in Gold, Rose Gold, or Silver",,4.5 out of 5 stars,"6,091 ratings",In Stock
"Swarovski Attract Crystal Jewelry Collection, Rhodium Tone Finish",,4.5 out of 5 stars,"6,935 ratings",In Stock
fxmimior Dainty Boho Gold Silver Chain Bracelets Set for Women Adjustable Fashion Beaded Chunky Flat Cable Chain Punk Bracelets Jewelry for Women Girls Gift Set of 4 (Gold),,3.9 out of 5 stars,"5,393 ratings",In Stock
Women’s Tassel Earrings Star Ear Stud Pave Crystal Dangle Earrings Boho Waterfall Beaded Fringe Drop Earring,,4.5 out of 5 stars,704 ratings,In Stock
