title,price,rating,reviews,availability
"Gold Hoop Earrings Set for Women, 14K Gold Plated Lightweight Hypoallergenic Chunky Open Hoops Set for Gift",,4.5 out of 5 stars,"5,750 ratings",In Stock
6 Pairs Gold Chunky Hoop Earrings Set for Women Hypoallergenic Thick Open Twisted Huggie Hoop Jewelry for Birthday/Christmas Gifts,,4.4 out of 5 stars,"4,858 ratings",In Stock
PAVOI 14K Gold Colored Lightweight Chunky Open Hoops | Gold Hoop Earrings for Women,,4.5 out of 5 stars,"43,474 ratings",Not Available
"36 Pairs Gold Earrings Set for Women Girls, Fashion Pearl Chain Link Stud Drop Dangle Earrings Multipack Statement Earring Packs, Hypoallergenic Earrings for Birthday Party Christmas Jewelry Gift",,4.4 out of 5 stars,"2,762 ratings",In Stock
PAVOI 14K Gold Convertible Link Earrings for Women | Paperclip Link Chain Earrings | Drop Dangle Earrings,,4.1 out of 5 stars,905 ratings,In Stock
"CHESKY 14K Gold/Silver Plated Snake Chain Necklace Herringbone Necklace Gold Choker Necklaces for Women Girl Gifts Jewelry 1.5/3/5MM(W) 14""/16""(L)",,4.4 out of 5 stars,"5,741 ratings",In Stock
CONRAN KREMIX Gold Chain Bracelet Sets for Women Girls 14K Gold Plated Dainty Link Paperclip Bracelets Stake Adjustable Layered Metal Link Bracelet Set Fashion Jewelry,,3.9 out of 5 stars,"3,347 ratings",In Stock
"44 Pairs Gold Hoop Earrings Set for Women Multipack, Fashion Dangle Heart Statement Pearl Earrings Pack, Hypoallergenic Chunky Hoops Jewelry for Birthday Party Gift",,4.4 out of 5 stars,"2,552 ratings",In Stock
"Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",,4.7 out of 5 stars,"10,232 ratings",In Stock
"5 Pairs Stud Earrings Set, Hypoallergenic Cubic Zirconia 316L Earrings Stainless Steel CZ Earrings 3-8mm, Rose Gold",,4.5 out of 5 stars,"40,176 ratings",In Stock
Mayhoop 20g Stainless Steel Nose Rings Hoop L Shape Nose Studs Nose Screw Bone Silver Rose Gold Black Rainbow Pack for Women Men 28Pcs,,4.3 out of 5 stars,"1,929 ratings",In Stock
"45 Pairs Gold Hoop Earrings for Girls Women, Chunky Twisted Small Big Hoops Earring Packs Set, Earrings for women multipack, Fashion Trendy Earrings Jewelry for Birthday Party Christmas Gift",,4.5 out of 5 stars,584 ratings,In Stock
CONRAN KREMIX Thick Gold Chunky Hoop Earrings Lightweight Open Hoops For Women,,4.3 out of 5 stars,679 ratings,In Stock
18 Pairs Stainless Steel Stud Earrings Set for Women Men Star Moon flower Heart Leaf Opal 20G Cartilage Earrings Hypoallergenic Flatback Earrings Piercing Jewelry,,4.3 out of 5 stars,"5,870 ratings",In Stock
"Wgoud Chunky Hoop Earrings Set 14K Gold Hoop Earrings for Women Hypoallergenic, Thick Hoops Earring set, Twist Huggie Hoop Earring",,4.5 out of 5 stars,"1,250 ratings",In Stock
"MUYAN Long Waterdrop Earrings for Women Polished Brushed Droplet Earrings,Gold & Silver",,4.5 out of 5 stars,100 ratings,In Stock
MEVECCO Layered Heart Necklace Pendant Handmade 18k Gold Plated Dainty Gold Choker Arrow Bar Layering Long Necklace for Women,,4.5 out of 5 stars,"19,700 ratings",In Stock
Cubic Zirconia Hypoallergenic Stud Earrings for Women Men Girls Statement Cartilage Fashion Surgical Steel Helix Earrings 5 Pairs,,4.3 out of 5 stars,"14,520 ratings",In Stock
